label	type	cpu_total	gpu_total	shared	concordant	discordant	cpu_only	gpu_only
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	SNV	51927	51914	51843	51829	14	84	71
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	INDEL	4829	4856	4779	4768	11	50	77
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	ALL	56756	56770	56622	56597	25	134	148
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	SNV	51969	51953	51893	51876	17	76	60
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	INDEL	4814	4859	4774	4767	7	40	85
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	ALL	56783	56812	56667	56643	24	116	145
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	SNV	51929	51918	51854	51840	14	75	64
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	INDEL	4822	4860	4780	4772	8	42	80
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	ALL	56751	56778	56634	56612	22	117	144
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	SNV	49425	49449	49370	49355	15	55	79
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	INDEL	3591	3603	3572	3569	3	19	31
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	ALL	53016	53052	52942	52924	18	74	110
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	SNV	49611	49617	49537	49515	22	74	80
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	INDEL	3584	3592	3563	3562	1	21	29
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	ALL	53195	53209	53100	53077	23	95	109
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	SNV	49447	49430	49367	49355	12	80	63
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	INDEL	3582	3588	3566	3564	2	16	22
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	ALL	53029	53018	52933	52919	14	96	85
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	SNV	50604	50609	50549	50535	14	55	60
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	INDEL	3990	3995	3973	3972	1	17	22
