label	category	n	QUAL	DP	GQ	QQ
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	concordant	56597	24.80	130.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	discordant	25	21.50	65.00	16.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	cpu_only	134	23.25	105.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s42	gpu_only	148	24.50	119.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	concordant	56643	24.80	130.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	discordant	24	20.55	56.50	17.50	
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	cpu_only	116	24.45	114.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s43	gpu_only	145	24.60	113.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	concordant	56612	24.80	130.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	discordant	22	24.55	78.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	cpu_only	117	22.20	116.00	16.00	
ZY_BGI_NA12878.grch38.deepvariant.100x.s44	gpu_only	144	24.40	110.50	21.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	concordant	52924	24.70	15.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	discordant	18	20.75	5.00	9.50	
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	cpu_only	74	21.45	13.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s42	gpu_only	110	21.65	9.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	concordant	53077	24.70	15.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	discordant	23	19.00	7.00	9.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	cpu_only	95	20.60	11.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s43	gpu_only	109	23.70	10.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	concordant	52919	24.70	15.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	discordant	14	22.80	8.50	13.50	
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	cpu_only	96	15.55	14.00	14.00	
ZY_BGI_NA12878.grch38.deepvariant.10x.s44	gpu_only	85	23.80	12.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	concordant	54507	24.80	21.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	discordant	15	17.30	9.00	5.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	cpu_only	72	17.80	16.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s42	gpu_only	82	23.15	12.50	20.50	
ZY_BGI_NA12878.grch38.deepvariant.15x.s43	concordant	54500	24.80	21.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s43	discordant	21	19.50	7.00	13.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s43	cpu_only	91	18.90	12.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s43	gpu_only	114	24.15	11.50	21.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s44	concordant	54573	24.80	21.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s44	discordant	23	19.50	5.00	13.00	
ZY_BGI_NA12878.grch38.deepvariant.15x.s44	cpu_only	68	20.20	20.00	17.50	
ZY_BGI_NA12878.grch38.deepvariant.15x.s44	gpu_only	97	22.60	15.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s42	concordant	56762	24.80	231.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s42	discordant	39	23.70	110.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s42	cpu_only	149	22.80	136.00	18.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s42	gpu_only	197	23.50	163.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s43	concordant	56845	24.80	231.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s43	discordant	36	20.95	99.50	11.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s43	cpu_only	155	22.50	150.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s43	gpu_only	195	24.00	141.00	18.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s44	concordant	56837	24.80	231.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s44	discordant	43	20.20	126.00	13.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s44	cpu_only	164	22.25	147.00	17.00	
ZY_BGI_NA12878.grch38.deepvariant.200x.s44	gpu_only	195	23.00	161.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s42	concordant	55697	24.80	41.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s42	discordant	12	19.30	9.50	9.50	
ZY_BGI_NA12878.grch38.deepvariant.30x.s42	cpu_only	76	20.00	36.00	18.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s42	gpu_only	82	19.85	30.50	17.50	
ZY_BGI_NA12878.grch38.deepvariant.30x.s43	concordant	55676	24.80	41.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s43	discordant	17	20.40	30.00	15.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s43	cpu_only	85	20.90	38.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s43	gpu_only	102	24.15	30.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s44	concordant	55785	24.80	41.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s44	discordant	17	16.40	8.00	9.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s44	cpu_only	68	16.50	27.00	15.00	
ZY_BGI_NA12878.grch38.deepvariant.30x.s44	gpu_only	93	22.90	28.00	20.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s42	concordant	56235	24.80	67.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s42	discordant	22	21.60	45.50	17.50	
ZY_BGI_NA12878.grch38.deepvariant.50x.s42	cpu_only	86	22.80	87.50	20.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s42	gpu_only	103	23.90	58.00	19.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	concordant	56176	24.80	67.00	22.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	discordant	12	20.30	45.50	14.50	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	cpu_only	70	24.30	53.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s43	gpu_only	135	24.10	58.00	21.00	
ZY_BGI_NA12878.grch38.deepvariant.50x.s44	concordant	56225	24.80	67.00	22.00	
