run_id,sample,platform,reference,aligner,aligner_version,caller,tool_version,hardware,parabricks_version,target_depth_x,mean_target_depth_x,seed,benchmark_tool,benchmark_tool_version,giab_version,target_bed,happy_prefix,run_date
ZY_BGI_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,ZY_BGI_NA12878,bgi_dnbseq_t7,b37,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,full,743.05,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_BGI_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,2026-07-20
ZY_BGI_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,ZY_BGI_NA12878,bgi_dnbseq_t7,b37,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,full,743.05,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_BGI_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,2026-07-20
ZY_GeneMind_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,ZY_GeneMind_NA12878,genemind_surfseq5000,b37,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,full,688.95,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_GeneMind_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,2026-07-20
ZY_GeneMind_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,ZY_GeneMind_NA12878,genemind_surfseq5000,b37,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,full,688.95,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_GeneMind_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,2026-07-20
ZY_Illumina_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,ZY_Illumina_NA12878,illumina_novaseq6000,b37,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,full,628.39,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_Illumina_NA12878.b37.bwa-mem.deepvariant.cpu.full.s0,2026-07-20
ZY_Illumina_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,ZY_Illumina_NA12878,illumina_novaseq6000,b37,bwa-mem,0.7.15,gatk4_hc,4.3.0.0,cpu,,full,628.39,0,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh37.bed,happy/ZY_Illumina_NA12878.b37.bwa-mem.gatk4_hc.cpu.full.s0,2026-07-20
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,10,14.5,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s42,2026-07-16
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,10,14.52,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,10,14.51,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.10x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,100,137.5,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,100,137.53,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,100,137.55,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.100x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,12,17.39,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,12,17.4,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,12,17.39,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.12x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,15,21.69,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,15,21.7,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s43,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s44,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,15,21.69,44,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.15x.s44,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s42,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,150,200.43,42,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s42,2026-07-17
ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s43,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,bwa-mem,0.7.15,deepvariant,1.9.0,cpu,,150,200.48,43,happy,0.3.15,HG001_v4.2.1,S07604514_Covered.GRCh38.bed,happy/ZY_BGI_NA12878.grch38.bwa-mem.deepvariant.cpu.150x.s43,2026-07-17
