run_id,sample,platform,reference,caller,hardware,target_depth_x,seed,call_sec,total_sec,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,30,1,232,348,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,1,918,2010,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,30,1,235,349,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,1,961,1094,2026-07-14
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,30,1,34,169,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,deepvariant,cpu,30,1,233,348,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,30,1,920,2005,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,30,1,34,144,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_haplotypecaller,gpu,30,1,95,329,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,pbrun_deepvariant,gpu,30,1,33,170,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,5,42,372,733,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,5,44,371,737,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,5,43,385,747,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,8,42,450,905,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,8,44,457,908,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.8x.s43,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,gatk4_hc,cpu,8,43,457,913,2026-07-15
