run_id,sample,platform,reference,target_depth_x,seed,mean_target_depth_x,median_target_depth_x,used_gb,pct_target_10x,pct_target_20x,pct_target_30x,pct_target_50x,coverage_tool,coverage_tool_version,run_date
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.full.s0,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,full,0,627.23,NA,59.26,0.9934,0.9897,0.9855,0.9755,mosdepth,0.3.3,2026-07-12
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.full.s0,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,full,0,627.23,NA,59.26,0.9934,0.9897,0.9855,0.9755,mosdepth,0.3.3,2026-07-12
ZY_BGI_NA12878.grch38.bwa-mem.gatk4_hc.cpu.full.s0,ZY_BGI_NA12878,bgi_dnbseq_t7,grch38,full,0,741.72,NA,69.93,0.9947,0.9924,0.9895,0.9828,mosdepth,0.3.3,2026-07-13
ZY_GeneMind_NA12878.grch38.bwa-mem.gatk4_hc.cpu.full.s0,ZY_GeneMind_NA12878,genemind_surfseq5000,grch38,full,0,687.37,NA,65.47,0.9963,0.9956,0.9948,0.9929,mosdepth,0.3.3,2026-07-13
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,,NA,,NA,NA,NA,NA,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_fq2bam.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-14
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.deepvariant.cpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_fq2bam.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_haplotypecaller.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.pbrun_fq2bam.pbrun_deepvariant.gpu.30x.s1,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,30,1,46.14,NA,4.23,0.8990,0.7541,0.6003,0.3526,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s44,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,44,7.86,NA,0.72,0.3043,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
ZY_Illumina_NA12878.grch38.bwa-mem.gatk4_hc.cpu.5x.s42,ZY_Illumina_NA12878,illumina_novaseq6000,grch38,5,42,7.86,NA,0.72,0.3039,0.0671,0.0148,0.0008,mosdepth,0.3.3,2026-07-15
