pair,concordant_n,concordant_DP,concordant_GQ,concordant_QUAL,discordant_n,discordant_DP,discordant_GQ,discordant_QUAL,cpu_only_n,cpu_only_DP,cpu_only_GQ,cpu_only_QUAL,gpu_only_n,gpu_only_DP,gpu_only_GQ,gpu_only_QUAL
ZY_BGI_NA12878.grch38.deepvariant.100x.s42,56597.0,130.0,22.0,24.8,25.0,65.0,16.0,21.5,134.0,105.0,20.0,23.25,148.0,119.0,21.0,24.5
ZY_BGI_NA12878.grch38.deepvariant.100x.s43,56643.0,130.0,22.0,24.8,24.0,56.5,17.5,20.55,116.0,114.0,21.0,24.45,145.0,113.0,21.0,24.6
ZY_BGI_NA12878.grch38.deepvariant.100x.s44,56612.0,130.0,22.0,24.8,22.0,78.0,19.0,24.55,117.0,116.0,16.0,22.2,144.0,110.5,21.0,24.4
ZY_BGI_NA12878.grch38.deepvariant.10x.s42,52924.0,15.0,22.0,24.7,18.0,5.0,9.5,20.75,74.0,13.0,19.0,21.45,110.0,9.0,20.0,21.65
ZY_BGI_NA12878.grch38.deepvariant.10x.s43,53077.0,15.0,22.0,24.7,23.0,7.0,9.0,19.0,95.0,11.0,19.0,20.6,109.0,10.0,21.0,23.7
ZY_BGI_NA12878.grch38.deepvariant.10x.s44,52919.0,15.0,22.0,24.7,14.0,8.5,13.5,22.8,96.0,14.0,14.0,15.55,85.0,12.0,21.0,23.8
ZY_BGI_NA12878.grch38.deepvariant.15x.s42,54507.0,21.0,22.0,24.8,15.0,9.0,5.0,17.3,72.0,16.0,17.0,17.8,82.0,12.5,20.5,23.15
ZY_BGI_NA12878.grch38.deepvariant.15x.s43,54500.0,21.0,22.0,24.8,21.0,7.0,13.0,19.5,91.0,12.0,17.0,18.9,114.0,11.5,21.0,24.15
ZY_BGI_NA12878.grch38.deepvariant.15x.s44,54573.0,21.0,22.0,24.8,23.0,5.0,13.0,19.5,68.0,20.0,17.5,20.2,97.0,15.0,20.0,22.6
ZY_BGI_NA12878.grch38.deepvariant.200x.s42,56762.0,231.0,22.0,24.8,39.0,110.0,17.0,23.7,149.0,136.0,18.0,22.8,197.0,163.0,19.0,23.5
