sample,reference,caller_pair,target_depth_x,seed,variant_type,CPU_F1,GPU_F1,abs_delta_F1
ZY_Illumina_NA12878,grch38,gatk4_hc,15,42,INDEL,0.787059,0.787365,0.00030600000000002847
ZY_Illumina_NA12878,grch38,gatk4_hc,15,42,SNV,0.941289,0.94112,0.00016900000000008575
ZY_Illumina_NA12878,grch38,gatk4_hc,15,43,INDEL,0.789363,0.788736,0.0006270000000000442
ZY_Illumina_NA12878,grch38,gatk4_hc,15,43,SNV,0.942893,0.942733,0.00015999999999993797
ZY_Illumina_NA12878,grch38,gatk4_hc,15,44,INDEL,0.789499,0.789578,7.900000000005125e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,15,44,SNV,0.942729,0.942513,0.00021599999999999397
ZY_Illumina_NA12878,grch38,gatk4_hc,30,42,INDEL,0.830864,0.8304,0.00046400000000001995
ZY_Illumina_NA12878,grch38,gatk4_hc,30,42,SNV,0.967266,0.966807,0.0004589999999999872
ZY_Illumina_NA12878,grch38,gatk4_hc,30,43,INDEL,0.829773,0.829285,0.00048799999999993293
ZY_Illumina_NA12878,grch38,gatk4_hc,30,43,SNV,0.966097,0.965941,0.00015599999999993397
ZY_Illumina_NA12878,grch38,gatk4_hc,30,44,INDEL,0.833995,0.834159,0.00016399999999994197
ZY_Illumina_NA12878,grch38,gatk4_hc,30,44,SNV,0.967226,0.967159,6.700000000003925e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,50,42,INDEL,0.845301,0.844636,0.0006649999999999157
ZY_Illumina_NA12878,grch38,gatk4_hc,50,42,SNV,0.974813,0.974411,0.00040200000000001346
ZY_Illumina_NA12878,grch38,gatk4_hc,50,43,INDEL,0.845729,0.844135,0.0015939999999999843
ZY_Illumina_NA12878,grch38,gatk4_hc,50,43,SNV,0.974221,0.973799,0.00042200000000003346
ZY_Illumina_NA12878,grch38,gatk4_hc,50,44,INDEL,0.850103,0.849482,0.0006210000000000937
ZY_Illumina_NA12878,grch38,gatk4_hc,50,44,SNV,0.974762,0.974408,0.00035399999999996545
ZY_Illumina_NA12878,grch38,deepvariant,15,42,INDEL,0.860146,0.861217,0.0010710000000000441
ZY_Illumina_NA12878,grch38,deepvariant,15,42,SNV,0.949901,0.949993,9.199999999998099e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,full,0,INDEL,0.881802,0.88189,8.799999999997699e-05
ZY_Illumina_NA12878,grch38,gatk4_hc,full,0,SNV,0.982211,0.982057,0.00015399999999998748
ZY_Illumina_NA12878,grch38,deepvariant,15,43,INDEL,0.870242,0.871969,0.001727000000000034
ZY_Illumina_NA12878,grch38,deepvariant,15,43,SNV,0.952076,0.95211,3.399999999997849e-05
ZY_Illumina_NA12878,grch38,deepvariant,15,44,INDEL,0.872193,0.871747,0.00044599999999994644
ZY_Illumina_NA12878,grch38,deepvariant,15,44,SNV,0.951877,0.951869,8.000000000008e-06
ZY_Illumina_NA12878,grch38,deepvariant,30,42,INDEL,0.919417,0.919861,0.00044399999999999995
ZY_Illumina_NA12878,grch38,deepvariant,30,42,SNV,0.976416,0.976426,1.0000000000065512e-05
ZY_Illumina_NA12878,grch38,deepvariant,30,43,INDEL,0.919436,0.919866,0.00042999999999993044
ZY_Illumina_NA12878,grch38,deepvariant,30,43,SNV,0.975605,0.975506,9.900000000007125e-05
ZY_Illumina_NA12878,grch38,deepvariant,30,44,INDEL,0.922887,0.923346,0.0004589999999999872
ZY_Illumina_NA12878,grch38,deepvariant,30,44,SNV,0.97612,0.976075,4.499999999996174e-05
ZY_Illumina_NA12878,grch38,deepvariant,50,42,INDEL,0.941855,0.941699,0.000156000000000045
ZY_Illumina_NA12878,grch38,deepvariant,50,42,SNV,0.983721,0.983732,1.1000000000094268e-05
ZY_Illumina_NA12878,grch38,deepvariant,50,43,INDEL,0.946767,0.947089,0.00032199999999993345
ZY_Illumina_NA12878,grch38,deepvariant,50,43,SNV,0.983552,0.983529,2.2999999999995246e-05
ZY_Illumina_NA12878,grch38,deepvariant,50,44,INDEL,0.946978,0.946692,0.00028600000000000847
ZY_Illumina_NA12878,grch38,deepvariant,50,44,SNV,0.983373,0.983327,4.6000000000101515e-05
ZY_BGI_NA12878,grch38,gatk4_hc,15,42,INDEL,0.77266,0.773569,0.0009089999999999376
ZY_BGI_NA12878,grch38,gatk4_hc,15,42,SNV,0.940041,0.939989,5.2000000000052005e-05
ZY_Illumina_NA12878,grch38,deepvariant,full,0,INDEL,0.979863,0.98001,0.00014700000000000824
ZY_Illumina_NA12878,grch38,deepvariant,full,0,SNV,0.992034,0.992056,2.2000000000077513e-05
ZY_BGI_NA12878,grch38,gatk4_hc,15,44,INDEL,0.772823,0.773223,0.00039999999999995595
ZY_BGI_NA12878,grch38,gatk4_hc,15,44,SNV,0.941256,0.941001,0.0002550000000000052
ZY_BGI_NA12878,grch38,gatk4_hc,15,43,INDEL,0.7725,0.772454,4.599999999999049e-05
ZY_BGI_NA12878,grch38,gatk4_hc,15,43,SNV,0.940336,0.940235,0.00010099999999990672
ZY_BGI_NA12878,grch38,gatk4_hc,30,43,INDEL,0.809574,0.809842,0.00026799999999993496
ZY_BGI_NA12878,grch38,gatk4_hc,30,43,SNV,0.967754,0.967587,0.00016700000000002824
ZY_BGI_NA12878,grch38,gatk4_hc,30,42,INDEL,0.814783,0.814783,0.0
ZY_BGI_NA12878,grch38,gatk4_hc,30,42,SNV,0.967721,0.967509,0.000212000000000101
ZY_BGI_NA12878,grch38,gatk4_hc,30,44,INDEL,0.811736,0.811848,0.00011200000000000099
ZY_BGI_NA12878,grch38,gatk4_hc,30,44,SNV,0.968284,0.967977,0.00030700000000005723
ZY_BGI_NA12878,grch38,gatk4_hc,50,42,INDEL,0.829772,0.829838,6.60000000000105e-05
