sample,reference,caller_pair,target_depth_x,seed,call_sec_cpu,call_sec_gpu,speedup
ZY_BGI_NA12878,grch38,deepvariant,100,42,2109.0,94.0,22.43617021276596
ZY_BGI_NA12878,grch38,deepvariant,100,43,2147.0,95.0,22.6
ZY_BGI_NA12878,grch38,deepvariant,100,44,2184.0,101.0,21.623762376237625
ZY_BGI_NA12878,grch38,deepvariant,10,42,260.0,22.0,11.818181818181818
ZY_BGI_NA12878,grch38,deepvariant,10,43,265.0,23.0,11.521739130434783
ZY_BGI_NA12878,grch38,deepvariant,10,44,263.0,22.0,11.954545454545455
ZY_BGI_NA12878,grch38,deepvariant,15,42,364.0,38.0,9.578947368421053
ZY_BGI_NA12878,grch38,deepvariant,15,43,357.0,34.0,10.5
ZY_BGI_NA12878,grch38,deepvariant,15,44,367.0,33.0,11.121212121212121
ZY_BGI_NA12878,grch38,deepvariant,200,42,662.0,201.0,3.2935323383084576
ZY_BGI_NA12878,grch38,deepvariant,200,43,645.0,253.0,2.549407114624506
ZY_BGI_NA12878,grch38,deepvariant,200,44,735.0,214.0,3.4345794392523366
ZY_BGI_NA12878,grch38,deepvariant,30,42,966.0,51.0,18.941176470588236
ZY_BGI_NA12878,grch38,deepvariant,30,43,961.0,51.0,18.84313725490196
ZY_BGI_NA12878,grch38,deepvariant,30,44,951.0,46.0,20.67391304347826
ZY_BGI_NA12878,grch38,deepvariant,50,42,1614.0,64.0,25.21875
ZY_BGI_NA12878,grch38,deepvariant,50,43,1613.0,57.0,28.29824561403509
ZY_BGI_NA12878,grch38,deepvariant,50,44,1614.0,57.0,28.31578947368421
ZY_BGI_NA12878,grch38,deepvariant,5,42,183.0,22.0,8.318181818181818
ZY_BGI_NA12878,grch38,deepvariant,5,43,188.0,25.0,7.52
ZY_BGI_NA12878,grch38,deepvariant,5,44,183.0,16.0,11.4375
ZY_BGI_NA12878,grch38,deepvariant,full,0,2310.0,533.0,4.333958724202627
ZY_BGI_NA12878,grch38,gatk4_hc,100,42,2458.0,115.0,21.37391304347826
ZY_BGI_NA12878,grch38,gatk4_hc,100,43,2438.0,115.0,21.2
ZY_BGI_NA12878,grch38,gatk4_hc,100,44,2420.0,114.0,21.228070175438596
ZY_BGI_NA12878,grch38,gatk4_hc,10,42,495.0,96.0,5.15625
ZY_BGI_NA12878,grch38,gatk4_hc,10,43,474.0,95.0,4.989473684210527
ZY_BGI_NA12878,grch38,gatk4_hc,10,44,498.0,95.0,5.242105263157895
ZY_BGI_NA12878,grch38,gatk4_hc,15,42,577.0,94.0,6.138297872340425
ZY_BGI_NA12878,grch38,gatk4_hc,15,43,574.0,95.0,6.042105263157895
ZY_BGI_NA12878,grch38,gatk4_hc,15,44,585.0,95.0,6.157894736842105
ZY_BGI_NA12878,grch38,gatk4_hc,200,42,4943.0,220.0,22.46818181818182
ZY_BGI_NA12878,grch38,gatk4_hc,200,43,4997.0,196.0,25.494897959183675
ZY_BGI_NA12878,grch38,gatk4_hc,200,44,5078.0,206.0,24.650485436893202
ZY_BGI_NA12878,grch38,gatk4_hc,30,42,874.0,95.0,9.2
ZY_BGI_NA12878,grch38,gatk4_hc,30,43,886.0,95.0,9.326315789473684
ZY_BGI_NA12878,grch38,gatk4_hc,30,44,882.0,95.0,9.284210526315789
ZY_BGI_NA12878,grch38,gatk4_hc,50,42,1284.0,95.0,13.51578947368421
ZY_BGI_NA12878,grch38,gatk4_hc,50,43,1301.0,95.0,13.694736842105263
ZY_BGI_NA12878,grch38,gatk4_hc,50,44,1304.0,95.0,13.726315789473684
ZY_BGI_NA12878,grch38,gatk4_hc,5,42,357.0,119.0,3.0
ZY_BGI_NA12878,grch38,gatk4_hc,5,43,356.0,96.0,3.7083333333333335
ZY_BGI_NA12878,grch38,gatk4_hc,5,44,354.0,96.0,3.6875
ZY_BGI_NA12878,grch38,gatk4_hc,full,0,20492.0,766.0,26.75195822454308
ZY_GeneMind_NA12878,grch38,deepvariant,100,42,1343.0,108.0,12.435185185185185
ZY_GeneMind_NA12878,grch38,deepvariant,100,43,1330.0,114.0,11.666666666666666
ZY_GeneMind_NA12878,grch38,deepvariant,100,44,1284.0,114.0,11.263157894736842
ZY_GeneMind_NA12878,grch38,deepvariant,10,42,214.0,28.0,7.642857142857143
ZY_GeneMind_NA12878,grch38,deepvariant,10,43,214.0,29.0,7.379310344827586
ZY_GeneMind_NA12878,grch38,deepvariant,10,44,214.0,28.0,7.642857142857143
ZY_GeneMind_NA12878,grch38,deepvariant,15,42,277.0,34.0,8.147058823529411
ZY_GeneMind_NA12878,grch38,deepvariant,15,43,247.0,46.0,5.369565217391305
ZY_GeneMind_NA12878,grch38,deepvariant,15,44,261.0,46.0,5.673913043478261
ZY_GeneMind_NA12878,grch38,deepvariant,200,42,1823.0,229.0,7.960698689956332
ZY_GeneMind_NA12878,grch38,deepvariant,200,43,2170.0,216.0,10.046296296296296
ZY_GeneMind_NA12878,grch38,deepvariant,200,44,1777.0,210.0,8.461904761904762
ZY_GeneMind_NA12878,grch38,deepvariant,30,42,371.0,63.0,5.888888888888889
ZY_GeneMind_NA12878,grch38,deepvariant,30,43,373.0,69.0,5.405797101449275
ZY_GeneMind_NA12878,grch38,deepvariant,30,44,382.0,69.0,5.536231884057971
ZY_GeneMind_NA12878,grch38,deepvariant,50,42,634.0,101.0,6.2772277227722775
ZY_GeneMind_NA12878,grch38,deepvariant,50,43,563.0,88.0,6.3977272727272725
ZY_GeneMind_NA12878,grch38,deepvariant,50,44,582.0,94.0,6.191489361702128
ZY_GeneMind_NA12878,grch38,deepvariant,5,42,177.0,22.0,8.045454545454545
ZY_GeneMind_NA12878,grch38,deepvariant,5,43,176.0,23.0,7.6521739130434785
ZY_GeneMind_NA12878,grch38,deepvariant,5,44,175.0,27.0,6.481481481481482
ZY_GeneMind_NA12878,grch38,deepvariant,full,0,5977.0,751.0,7.958721704394141
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,42,2662.0,105.0,25.35238095238095
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,43,2693.0,105.0,25.64761904761905
ZY_GeneMind_NA12878,grch38,gatk4_hc,100,44,2678.0,106.0,25.264150943396228
