reference,platform,caller,variant_type,F1,precision,recall
b37,bgi_dnbseq_t7,deepvariant,INDEL,0.973126,0.977717,0.968579
b37,bgi_dnbseq_t7,deepvariant,SNV,0.99374,0.996963,0.990538
b37,bgi_dnbseq_t7,gatk4_hc,INDEL,0.867215,0.819767,0.920492
b37,bgi_dnbseq_t7,gatk4_hc,SNV,0.983203,0.976604,0.989891
b37,genemind_surfseq5000,deepvariant,INDEL,0.984134,0.986586,0.981694
b37,genemind_surfseq5000,deepvariant,SNV,0.994567,0.996753,0.992392
b37,genemind_surfseq5000,gatk4_hc,INDEL,0.923296,0.899768,0.948087
b37,genemind_surfseq5000,gatk4_hc,SNV,0.98136,0.97206,0.99084
b37,illumina_novaseq6000,deepvariant,INDEL,0.981633,0.986817,0.976503
b37,illumina_novaseq6000,deepvariant,SNV,0.99376,0.997222,0.990322
b37,illumina_novaseq6000,gatk4_hc,INDEL,0.885897,0.851936,0.922678
b37,illumina_novaseq6000,gatk4_hc,SNV,0.982521,0.975762,0.989374
grch38,bgi_dnbseq_t7,deepvariant,INDEL,0.971235,0.977739,0.964817
grch38,bgi_dnbseq_t7,deepvariant,SNV,0.992178,0.998009,0.986416
grch38,bgi_dnbseq_t7,gatk4_hc,INDEL,0.86127,0.814598,0.913616
grch38,bgi_dnbseq_t7,gatk4_hc,SNV,0.982914,0.97965,0.986199
grch38,genemind_surfseq5000,deepvariant,INDEL,0.983772,0.988761,0.978833
grch38,genemind_surfseq5000,deepvariant,SNV,0.993054,0.998055,0.988103
grch38,genemind_surfseq5000,gatk4_hc,INDEL,0.922185,0.902459,0.942792
grch38,genemind_surfseq5000,gatk4_hc,SNV,0.982216,0.977627,0.986848
grch38,illumina_novaseq6000,deepvariant,INDEL,0.979863,0.986709,0.973112
grch38,illumina_novaseq6000,deepvariant,SNV,0.992034,0.99827,0.985875
grch38,illumina_novaseq6000,gatk4_hc,INDEL,0.881802,0.849656,0.916476
grch38,illumina_novaseq6000,gatk4_hc,SNV,0.982211,0.979065,0.985377
