nominal_depth_x,measured_illumina_novaseq6000_x,measured_bgi_dnbseq_t7_x,measured_genemind_surfseq5000_x,ratio_illumina_novaseq6000,ratio_bgi_dnbseq_t7,ratio_genemind_surfseq5000
5,7.9,7.3,7.5,1.58,1.46,1.5
8,12.6,11.6,12.0,1.575,1.45,1.5
10,15.7,14.5,15.0,1.57,1.45,1.5
12,18.8,17.4,18.0,1.567,1.45,1.5
15,23.4,21.7,22.4,1.56,1.447,1.493
20,31.0,28.8,29.7,1.55,1.44,1.485
25,38.6,35.9,37.0,1.544,1.436,1.48
30,46.2,43.0,44.3,1.54,1.433,1.477
40,61.0,57.0,58.6,1.525,1.425,1.465
50,75.6,70.8,72.8,1.512,1.416,1.456
60,89.9,84.5,86.8,1.498,1.408,1.447
75,110.9,104.7,107.4,1.479,1.396,1.432
100,144.8,137.5,140.8,1.448,1.375,1.408
150,208.4,200.5,204.2,1.389,1.337,1.361
200,267.1,259.9,263.7,1.336,1.299,1.319
300,371.7,369.6,371.8,1.239,1.232,1.239
400,462.0,468.3,467.3,1.155,1.171,1.168
full,627.2,741.7,687.4,,,
